id_facture,nom_du_client,create_date,due_in_date,clear_date,montant_totale,totale_payer,totale_reste
500001,Company_1,2021-02-18,2021-05-21,2021-09-27,10860,20,10840
500002,Company_1,2023-11-01,2023-12-08,2024-06-05,9576,400,9176
500003,Company_1,2022-04-11,2022-06-25,2022-11-24,12761,10372,2389
500004,Company_1,2021-02-21,2021-05-10,2021-07-30,15777,9625,6152
500005,Company_1,2020-06-15,2020-09-26,2021-01-14,18597,18483,114
500006,Company_1,2022-07-16,2022-09-17,2023-04-01,18735,16170,2565
500007,Company_1,2020-11-11,2021-01-19,2021-07-13,19413,15856,3557
500008,Company_1,2022-05-28,2022-07-17,2022-08-23,5812,4232,1580
500009,Company_1,2020-06-10,2020-08-08,2021-01-14,2660,1538,1122
500010,Company_1,2020-06-15,2020-08-10,2021-02-07,10973,8489,2484
500011,Company_1,2022-10-05,2022-11-26,2023-01-09,5446,650,4796
500012,Company_1,2020-02-26,2020-05-02,2020-05-27,13825,2932,10893
500013,Company_1,2020-05-06,2020-08-06,2021-01-14,5007,3397,1610
500014,Company_1,2021-05-04,2021-07-05,2021-12-27,23593,3304,20289
500015,Company_1,2022-10-21,2022-12-16,2022-12-24,17941,11253,6688
500016,Company_1,2022-06-17,2022-09-05,2022-12-28,5526,2976,2550
500017,Company_2,2020-01-26,2020-03-18,2020-09-03,22817,10820,11997
500018,Company_2,2022-01-08,2022-02-14,2022-04-22,17999,752,17247
500019,Company_2,2021-11-09,2022-01-08,2022-03-01,11163,8345,2818
500020,Company_2,2020-09-12,2020-10-23,2021-01-04,4546,677,3869
500021,Company_3,2021-12-20,2022-01-24,2022-05-07,3480,901,2579
500022,Company_3,2022-07-19,2022-10-12,2022-11-12,14956,12322,2634
500023,Company_3,2023-07-31,2023-09-18,2023-11-12,11397,3851,7546
500024,Company_3,2021-06-30,2021-08-07,2021-11-20,12775,10234,2541
500025,Company_3,2023-12-26,2024-01-29,2024-08-01,13926,3323,10603
500026,Company_3,2022-08-31,2022-09-30,2022-12-27,9633,4035,5598
500027,Company_3,2020-11-12,2021-01-14,2021-01-14,23367,4614,18753
500028,Company_3,2023-06-04,2023-08-11,2023-09-06,23018,11917,11101
500029,Company_3,2021-11-26,2022-03-15,2022-04-15,1478,654,824
500030,Company_3,2021-12-24,2022-04-02,2022-08-31,14289,633,13656
500031,Company_4,2022-06-10,2022-09-08,2022-10-02,20295,8225,12070
500032,Company_4,2021-01-22,2021-03-23,2021-07-09,3303,67,3236
500033,Company_4,2022-05-02,2022-05-19,2022-09-08,22342,21317,1025
